"Year_of_issue","Probability","Index","Aggregation","District","Month_of_issue","Category"
"1994",0.2,"SPI ON","SPI 2","Changara","05","Moderado"
"1995",0.12,"SPI ON","SPI 2","Changara","05","Moderado"
"1996",0.27,"SPI ON","SPI 2","Changara","05","Moderado"
"1997",0.19,"SPI ON","SPI 2","Changara","05","Moderado"
"1998",0.24,"SPI ON","SPI 2","Changara","05","Moderado"
"1999",0.1,"SPI ON","SPI 2","Changara","05","Moderado"
"2000",0.16,"SPI ON","SPI 2","Changara","05","Moderado"
"2001",0.2,"SPI ON","SPI 2","Changara","05","Moderado"
"2002",0.23,"SPI ON","SPI 2","Changara","05","Moderado"
"2003",0.25,"SPI ON","SPI 2","Changara","05","Moderado"
"2004",0.19,"SPI ON","SPI 2","Changara","05","Moderado"
"2005",0.05,"SPI ON","SPI 2","Changara","05","Moderado"
"2006",0.24,"SPI ON","SPI 2","Changara","05","Moderado"
"2007",0.16,"SPI ON","SPI 2","Changara","05","Moderado"
"2008",0.2,"SPI ON","SPI 2","Changara","05","Moderado"
"2009",0.16,"SPI ON","SPI 2","Changara","05","Moderado"
"2010",0.28,"SPI ON","SPI 2","Changara","05","Moderado"
"2011",0.19,"SPI ON","SPI 2","Changara","05","Moderado"
"2012",0.18,"SPI ON","SPI 2","Changara","05","Moderado"
"2013",0.28,"SPI ON","SPI 2","Changara","05","Moderado"
"2014",0.16,"SPI ON","SPI 2","Changara","05","Moderado"
"2015",0.22,"SPI ON","SPI 2","Changara","05","Moderado"
"2016",0.24,"SPI ON","SPI 2","Changara","05","Moderado"
"2017",0.16,"SPI ON","SPI 2","Changara","05","Moderado"
"2018",0.34,"SPI ON","SPI 2","Changara","05","Moderado"
"2019",0.21,"SPI ON","SPI 2","Changara","05","Moderado"
"2020",0.05,"SPI ON","SPI 2","Changara","05","Moderado"
"2021",0.05,"SPI ON","SPI 2","Changara","05","Moderado"
"1993",0.23,"SPI ON","SPI 2","Marara","05","Moderado"
"1994",0.23,"SPI ON","SPI 2","Marara","05","Moderado"
"1995",0.16,"SPI ON","SPI 2","Marara","05","Moderado"
"1996",0.23,"SPI ON","SPI 2","Marara","05","Moderado"
"1997",0.16,"SPI ON","SPI 2","Marara","05","Moderado"
"1998",0.24,"SPI ON","SPI 2","Marara","05","Moderado"
"1999",0.16,"SPI ON","SPI 2","Marara","05","Moderado"
"2000",0.16,"SPI ON","SPI 2","Marara","05","Moderado"
"2001",0.2,"SPI ON","SPI 2","Marara","05","Moderado"
"2002",0.27,"SPI ON","SPI 2","Marara","05","Moderado"
"2003",0.27,"SPI ON","SPI 2","Marara","05","Moderado"
"2004",0.21,"SPI ON","SPI 2","Marara","05","Moderado"
"2005",0.08,"SPI ON","SPI 2","Marara","05","Moderado"
"2006",0.28,"SPI ON","SPI 2","Marara","05","Moderado"
"2007",0.13,"SPI ON","SPI 2","Marara","05","Moderado"
"2008",0.16,"SPI ON","SPI 2","Marara","05","Moderado"
"2009",0.16,"SPI ON","SPI 2","Marara","05","Moderado"
"2010",0.24,"SPI ON","SPI 2","Marara","05","Moderado"
"2011",0.21,"SPI ON","SPI 2","Marara","05","Moderado"
"2012",0.17,"SPI ON","SPI 2","Marara","05","Moderado"
"2013",0.28,"SPI ON","SPI 2","Marara","05","Moderado"
"2014",0.17,"SPI ON","SPI 2","Marara","05","Moderado"
"2015",0.24,"SPI ON","SPI 2","Marara","05","Moderado"
"2016",0.27,"SPI ON","SPI 2","Marara","05","Moderado"
"2017",0.15,"SPI ON","SPI 2","Marara","05","Moderado"
"2018",0.32,"SPI ON","SPI 2","Marara","05","Moderado"
"2019",0.21,"SPI ON","SPI 2","Marara","05","Moderado"
"2020",0.05,"SPI ON","SPI 2","Marara","05","Moderado"
"2021",0.05,"SPI ON","SPI 2","Marara","05","Moderado"
"1993",0.17,"SPI ON","SPI 2","Chibuto","05","Leve"
"1994",0.38,"SPI ON","SPI 2","Chibuto","05","Leve"
"1995",0.32,"SPI ON","SPI 2","Chibuto","05","Leve"
"1996",0.19,"SPI ON","SPI 2","Chibuto","05","Leve"
"1997",0.41,"SPI ON","SPI 2","Chibuto","05","Leve"
"1998",0.09,"SPI ON","SPI 2","Chibuto","05","Leve"
"1999",0.04,"SPI ON","SPI 2","Chibuto","05","Leve"
"2000",0.14,"SPI ON","SPI 2","Chibuto","05","Leve"
"2001",0.21,"SPI ON","SPI 2","Chibuto","05","Leve"
"2002",0.32,"SPI ON","SPI 2","Chibuto","05","Leve"
"2003",0.12,"SPI ON","SPI 2","Chibuto","05","Leve"
"2004",0.14,"SPI ON","SPI 2","Chibuto","05","Leve"
"2005",0.28,"SPI ON","SPI 2","Chibuto","05","Leve"
"2006",0.22,"SPI ON","SPI 2","Chibuto","05","Leve"
"2007",0.18,"SPI ON","SPI 2","Chibuto","05","Leve"
"2008",0.23,"SPI ON","SPI 2","Chibuto","05","Leve"
"2009",0.21,"SPI ON","SPI 2","Chibuto","05","Leve"
"2010",0.32,"SPI ON","SPI 2","Chibuto","05","Leve"
"2011",0.2,"SPI ON","SPI 2","Chibuto","05","Leve"
"2012",0.32,"SPI ON","SPI 2","Chibuto","05","Leve"
"2013",0.36,"SPI ON","SPI 2","Chibuto","05","Leve"
"2014",0.36,"SPI ON","SPI 2","Chibuto","05","Leve"
"2015",0.34,"SPI ON","SPI 2","Chibuto","05","Leve"
"2016",0.23,"SPI ON","SPI 2","Chibuto","05","Leve"
"2017",0.38,"SPI ON","SPI 2","Chibuto","05","Leve"
"2018",0.42,"SPI ON","SPI 2","Chibuto","05","Leve"
"2019",0.29,"SPI ON","SPI 2","Chibuto","05","Leve"
"2020",0.26,"SPI ON","SPI 2","Chibuto","05","Leve"
"2021",0.26,"SPI ON","SPI 2","Chibuto","05","Leve"
"1993",0.21,"SPI ON","SPI 2","Guija","05","Leve"
"1994",0.41,"SPI ON","SPI 2","Guija","05","Leve"
"1995",0.3,"SPI ON","SPI 2","Guija","05","Leve"
"1996",0.18,"SPI ON","SPI 2","Guija","05","Leve"
"1997",0.31,"SPI ON","SPI 2","Guija","05","Leve"
"1998",0.06,"SPI ON","SPI 2","Guija","05","Leve"
"1999",0.05,"SPI ON","SPI 2","Guija","05","Leve"
"2000",0.14,"SPI ON","SPI 2","Guija","05","Leve"
"2001",0.18,"SPI ON","SPI 2","Guija","05","Leve"
"2002",0.38,"SPI ON","SPI 2","Guija","05","Leve"
"2003",0.13,"SPI ON","SPI 2","Guija","05","Leve"
"2004",0.12,"SPI ON","SPI 2","Guija","05","Leve"
"2005",0.33,"SPI ON","SPI 2","Guija","05","Leve"
"2006",0.18,"SPI ON","SPI 2","Guija","05","Leve"
"2007",0.18,"SPI ON","SPI 2","Guija","05","Leve"
"2008",0.23,"SPI ON","SPI 2","Guija","05","Leve"
"2009",0.2,"SPI ON","SPI 2","Guija","05","Leve"
"2010",0.34,"SPI ON","SPI 2","Guija","05","Leve"
"2011",0.2,"SPI ON","SPI 2","Guija","05","Leve"
"2012",0.32,"SPI ON","SPI 2","Guija","05","Leve"
"2013",0.35,"SPI ON","SPI 2","Guija","05","Leve"
"2014",0.34,"SPI ON","SPI 2","Guija","05","Leve"
"2015",0.34,"SPI ON","SPI 2","Guija","05","Leve"
"2016",0.22,"SPI ON","SPI 2","Guija","05","Leve"
"2017",0.38,"SPI ON","SPI 2","Guija","05","Leve"
"2018",0.41,"SPI ON","SPI 2","Guija","05","Leve"
"2019",0.28,"SPI ON","SPI 2","Guija","05","Leve"
"2020",0.24,"SPI ON","SPI 2","Guija","05","Leve"
"2021",0.24,"SPI ON","SPI 2","Guija","05","Leve"
"1993",0.31,"SPI ON","SPI 2","Changara","05","Leve"
"1994",0.26,"SPI ON","SPI 2","Changara","05","Leve"
"1995",0.18,"SPI ON","SPI 2","Changara","05","Leve"
"1996",0.28,"SPI ON","SPI 2","Changara","05","Leve"
"1997",0.25,"SPI ON","SPI 2","Changara","05","Leve"
"1998",0.34,"SPI ON","SPI 2","Changara","05","Leve"
"1999",0.15,"SPI ON","SPI 2","Changara","05","Leve"
"2000",0.21,"SPI ON","SPI 2","Changara","05","Leve"
"2001",0.2,"SPI ON","SPI 2","Changara","05","Leve"
"2002",0.28,"SPI ON","SPI 2","Changara","05","Leve"
"2003",0.29,"SPI ON","SPI 2","Changara","05","Leve"
"2004",0.28,"SPI ON","SPI 2","Changara","05","Leve"
"2005",0.07,"SPI ON","SPI 2","Changara","05","Leve"
"2006",0.36,"SPI ON","SPI 2","Changara","05","Leve"
"2007",0.22,"SPI ON","SPI 2","Changara","05","Leve"
"2008",0.26,"SPI ON","SPI 2","Changara","05","Leve"
"2009",0.16,"SPI ON","SPI 2","Changara","05","Leve"
"2010",0.3,"SPI ON","SPI 2","Changara","05","Leve"
"2011",0.28,"SPI ON","SPI 2","Changara","05","Leve"
"2012",0.3,"SPI ON","SPI 2","Changara","05","Leve"
"2013",0.38,"SPI ON","SPI 2","Changara","05","Leve"
"2014",0.19,"SPI ON","SPI 2","Changara","05","Leve"
"2015",0.25,"SPI ON","SPI 2","Changara","05","Leve"
"2016",0.32,"SPI ON","SPI 2","Changara","05","Leve"
"2017",0.24,"SPI ON","SPI 2","Changara","05","Leve"
"2018",0.35,"SPI ON","SPI 2","Changara","05","Leve"
"2019",0.28,"SPI ON","SPI 2","Changara","05","Leve"
"2020",0.07,"SPI ON","SPI 2","Changara","05","Leve"
"2021",0.07,"SPI ON","SPI 2","Changara","05","Leve"
"1993",0.28,"SPI ON","SPI 2","Marara","05","Leve"
"1994",0.32,"SPI ON","SPI 2","Marara","05","Leve"
"1995",0.19,"SPI ON","SPI 2","Marara","05","Leve"
"1996",0.27,"SPI ON","SPI 2","Marara","05","Leve"
"1997",0.24,"SPI ON","SPI 2","Marara","05","Leve"
"1998",0.31,"SPI ON","SPI 2","Marara","05","Leve"
"1999",0.17,"SPI ON","SPI 2","Marara","05","Leve"
"2000",0.2,"SPI ON","SPI 2","Marara","05","Leve"
"2001",0.21,"SPI ON","SPI 2","Marara","05","Leve"
"2002",0.28,"SPI ON","SPI 2","Marara","05","Leve"
"2003",0.32,"SPI ON","SPI 2","Marara","05","Leve"
"2004",0.31,"SPI ON","SPI 2","Marara","05","Leve"
"2005",0.08,"SPI ON","SPI 2","Marara","05","Leve"
"2006",0.35,"SPI ON","SPI 2","Marara","05","Leve"
"2007",0.21,"SPI ON","SPI 2","Marara","05","Leve"
"2008",0.23,"SPI ON","SPI 2","Marara","05","Leve"
"2009",0.16,"SPI ON","SPI 2","Marara","05","Leve"
"2010",0.28,"SPI ON","SPI 2","Marara","05","Leve"
"2011",0.25,"SPI ON","SPI 2","Marara","05","Leve"
"2012",0.21,"SPI ON","SPI 2","Marara","05","Leve"
"2013",0.36,"SPI ON","SPI 2","Marara","05","Leve"
"2014",0.19,"SPI ON","SPI 2","Marara","05","Leve"
"2015",0.24,"SPI ON","SPI 2","Marara","05","Leve"
"2016",0.28,"SPI ON","SPI 2","Marara","05","Leve"
"2017",0.24,"SPI ON","SPI 2","Marara","05","Leve"
"2018",0.32,"SPI ON","SPI 2","Marara","05","Leve"
"2019",0.25,"SPI ON","SPI 2","Marara","05","Leve"
"2020",0.08,"SPI ON","SPI 2","Marara","05","Leve"
"2021",0.08,"SPI ON","SPI 2","Marara","05","Leve"
"1993",0.2,"SPI ND","SPI 2","Chibuto","06","Severo"
"1994",0.1,"SPI ND","SPI 2","Chibuto","06","Severo"
"1995",0.09,"SPI ND","SPI 2","Chibuto","06","Severo"
"1996",0.16,"SPI ND","SPI 2","Chibuto","06","Severo"
"1997",0.23,"SPI ND","SPI 2","Chibuto","06","Severo"
"1998",0.11,"SPI ND","SPI 2","Chibuto","06","Severo"
"1999",0.12,"SPI ND","SPI 2","Chibuto","06","Severo"
"2000",0.2,"SPI ND","SPI 2","Chibuto","06","Severo"
"2001",0.09,"SPI ND","SPI 2","Chibuto","06","Severo"
"2002",0.31,"SPI ND","SPI 2","Chibuto","06","Severo"
"2003",0.03,"SPI ND","SPI 2","Chibuto","06","Severo"
"2004",0.18,"SPI ND","SPI 2","Chibuto","06","Severo"
"2005",0.16,"SPI ND","SPI 2","Chibuto","06","Severo"
"2006",0.16,"SPI ND","SPI 2","Chibuto","06","Severo"
"2007",0.03,"SPI ND","SPI 2","Chibuto","06","Severo"
"2008",0.13,"SPI ND","SPI 2","Chibuto","06","Severo"
"2009",0.18,"SPI ND","SPI 2","Chibuto","06","Severo"
"2010",0.18,"SPI ND","SPI 2","Chibuto","06","Severo"
"2011",0.16,"SPI ND","SPI 2","Chibuto","06","Severo"
"2012",0.23,"SPI ND","SPI 2","Chibuto","06","Severo"
"2013",0.07,"SPI ND","SPI 2","Chibuto","06","Severo"
"2014",0.15,"SPI ND","SPI 2","Chibuto","06","Severo"
"2015",0.17,"SPI ND","SPI 2","Chibuto","06","Severo"
"2016",0.2,"SPI ND","SPI 2","Chibuto","06","Severo"
"2017",0.27,"SPI ND","SPI 2","Chibuto","06","Severo"
"2018",0.22,"SPI ND","SPI 2","Chibuto","06","Severo"
"2019",0.28,"SPI ND","SPI 2","Chibuto","06","Severo"
"2020",0.09,"SPI ND","SPI 2","Chibuto","06","Severo"
"2021",0.01,"SPI ND","SPI 2","Chibuto","06","Severo"
"1993",0.21,"SPI ND","SPI 2","Guija","06","Severo"
"1994",0.08,"SPI ND","SPI 2","Guija","06","Severo"
"1995",0.09,"SPI ND","SPI 2","Guija","06","Severo"
"1996",0.18,"SPI ND","SPI 2","Guija","06","Severo"
"1997",0.18,"SPI ND","SPI 2","Guija","06","Severo"
"1998",0.09,"SPI ND","SPI 2","Guija","06","Severo"
"1999",0.1,"SPI ND","SPI 2","Guija","06","Severo"
"2000",0.18,"SPI ND","SPI 2","Guija","06","Severo"
"2001",0.15,"SPI ND","SPI 2","Guija","06","Severo"
"2002",0.3,"SPI ND","SPI 2","Guija","06","Severo"
"2003",0.04,"SPI ND","SPI 2","Guija","06","Severo"
"2004",0.17,"SPI ND","SPI 2","Guija","06","Severo"
"2005",0.12,"SPI ND","SPI 2","Guija","06","Severo"
"2006",0.16,"SPI ND","SPI 2","Guija","06","Severo"
"2007",0.04,"SPI ND","SPI 2","Guija","06","Severo"
"2008",0.14,"SPI ND","SPI 2","Guija","06","Severo"
"2009",0.14,"SPI ND","SPI 2","Guija","06","Severo"
"2010",0.16,"SPI ND","SPI 2","Guija","06","Severo"
"2011",0.14,"SPI ND","SPI 2","Guija","06","Severo"
"2012",0.22,"SPI ND","SPI 2","Guija","06","Severo"
"2013",0.06,"SPI ND","SPI 2","Guija","06","Severo"
"2014",0.12,"SPI ND","SPI 2","Guija","06","Severo"
"2015",0.15,"SPI ND","SPI 2","Guija","06","Severo"
"2016",0.2,"SPI ND","SPI 2","Guija","06","Severo"
"2017",0.24,"SPI ND","SPI 2","Guija","06","Severo"
"2018",0.24,"SPI ND","SPI 2","Guija","06","Severo"
"2019",0.26,"SPI ND","SPI 2","Guija","06","Severo"
"2020",0.1,"SPI ND","SPI 2","Guija","06","Severo"
"2021",0,"SPI ND","SPI 2","Guija","06","Severo"
"1993",0.12,"SPI ND","SPI 2","Changara","06","Severo"
"1994",0.24,"SPI ND","SPI 2","Changara","06","Severo"
"1995",0.09,"SPI ND","SPI 2","Changara","06","Severo"
"1996",0.1,"SPI ND","SPI 2","Changara","06","Severo"
"1997",0.2,"SPI ND","SPI 2","Changara","06","Severo"
"1998",0.36,"SPI ND","SPI 2","Changara","06","Severo"
"1999",0.16,"SPI ND","SPI 2","Changara","06","Severo"
"2000",0.25,"SPI ND","SPI 2","Changara","06","Severo"
"2001",0.06,"SPI ND","SPI 2","Changara","06","Severo"
"2002",0.22,"SPI ND","SPI 2","Changara","06","Severo"
"2003",0.01,"SPI ND","SPI 2","Changara","06","Severo"
"2004",0.12,"SPI ND","SPI 2","Changara","06","Severo"
"2005",0.16,"SPI ND","SPI 2","Changara","06","Severo"
"2006",0.23,"SPI ND","SPI 2","Changara","06","Severo"
"2007",0.06,"SPI ND","SPI 2","Changara","06","Severo"
"2008",0.16,"SPI ND","SPI 2","Changara","06","Severo"
"2009",0.29,"SPI ND","SPI 2","Changara","06","Severo"
"2010",0.11,"SPI ND","SPI 2","Changara","06","Severo"
"2011",0.16,"SPI ND","SPI 2","Changara","06","Severo"
"2012",0.25,"SPI ND","SPI 2","Changara","06","Severo"
"2013",0.17,"SPI ND","SPI 2","Changara","06","Severo"
"2014",0.16,"SPI ND","SPI 2","Changara","06","Severo"
"2015",0.16,"SPI ND","SPI 2","Changara","06","Severo"
"2016",0.22,"SPI ND","SPI 2","Changara","06","Severo"
"2017",0.16,"SPI ND","SPI 2","Changara","06","Severo"
"2018",0.06,"SPI ND","SPI 2","Changara","06","Severo"
"2019",0.12,"SPI ND","SPI 2","Changara","06","Severo"
"2020",0.05,"SPI ND","SPI 2","Changara","06","Severo"
"2021",0.05,"SPI ND","SPI 2","Changara","06","Severo"
"1993",0.21,"SPI ND","SPI 2","Marara","06","Severo"
"1994",0.24,"SPI ND","SPI 2","Marara","06","Severo"
"1995",0.09,"SPI ND","SPI 2","Marara","06","Severo"
"1996",0.11,"SPI ND","SPI 2","Marara","06","Severo"
"1997",0.16,"SPI ND","SPI 2","Marara","06","Severo"
"1998",0.43,"SPI ND","SPI 2","Marara","06","Severo"
"1999",0.16,"SPI ND","SPI 2","Marara","06","Severo"
"2000",0.16,"SPI ND","SPI 2","Marara","06","Severo"
"2001",0.05,"SPI ND","SPI 2","Marara","06","Severo"
"2002",0.21,"SPI ND","SPI 2","Marara","06","Severo"
"2003",0.04,"SPI ND","SPI 2","Marara","06","Severo"
"2004",0.13,"SPI ND","SPI 2","Marara","06","Severo"
"2005",0.15,"SPI ND","SPI 2","Marara","06","Severo"
"2006",0.24,"SPI ND","SPI 2","Marara","06","Severo"
"2007",0.04,"SPI ND","SPI 2","Marara","06","Severo"
"2008",0.16,"SPI ND","SPI 2","Marara","06","Severo"
"2009",0.28,"SPI ND","SPI 2","Marara","06","Severo"
"2010",0.12,"SPI ND","SPI 2","Marara","06","Severo"
"2011",0.16,"SPI ND","SPI 2","Marara","06","Severo"
"2012",0.24,"SPI ND","SPI 2","Marara","06","Severo"
"2013",0.12,"SPI ND","SPI 2","Marara","06","Severo"
"2014",0.15,"SPI ND","SPI 2","Marara","06","Severo"
"2015",0.15,"SPI ND","SPI 2","Marara","06","Severo"
"2016",0.24,"SPI ND","SPI 2","Marara","06","Severo"
"2017",0.15,"SPI ND","SPI 2","Marara","06","Severo"
"2018",0.11,"SPI ND","SPI 2","Marara","06","Severo"
"2019",0.12,"SPI ND","SPI 2","Marara","06","Severo"
"2020",0.08,"SPI ND","SPI 2","Marara","06","Severo"
"2021",0.05,"SPI ND","SPI 2","Marara","06","Severo"
"1993",0.26,"SPI ON","SPI 2","Chibuto","06","Severo"
"1994",0.12,"SPI ON","SPI 2","Chibuto","06","Severo"
"1995",0.11,"SPI ON","SPI 2","Chibuto","06","Severo"
"1996",0.07,"SPI ON","SPI 2","Chibuto","06","Severo"
"1997",0.1,"SPI ON","SPI 2","Chibuto","06","Severo"
"1998",0.24,"SPI ON","SPI 2","Chibuto","06","Severo"
"1999",0.1,"SPI ON","SPI 2","Chibuto","06","Severo"
"2000",0.14,"SPI ON","SPI 2","Chibuto","06","Severo"
"2001",0.06,"SPI ON","SPI 2","Chibuto","06","Severo"
"2002",0.17,"SPI ON","SPI 2","Chibuto","06","Severo"
"2003",0.07,"SPI ON","SPI 2","Chibuto","06","Severo"
"2004",0.06,"SPI ON","SPI 2","Chibuto","06","Severo"
"2005",0.12,"SPI ON","SPI 2","Chibuto","06","Severo"
"2006",0.04,"SPI ON","SPI 2","Chibuto","06","Severo"
"2007",0.15,"SPI ON","SPI 2","Chibuto","06","Severo"
"2008",0.17,"SPI ON","SPI 2","Chibuto","06","Severo"
"2009",0.1,"SPI ON","SPI 2","Chibuto","06","Severo"
"2010",0.21,"SPI ON","SPI 2","Chibuto","06","Severo"
"2011",0.04,"SPI ON","SPI 2","Chibuto","06","Severo"
"2012",0.18,"SPI ON","SPI 2","Chibuto","06","Severo"
"2013",0.15,"SPI ON","SPI 2","Chibuto","06","Severo"
"2014",0.16,"SPI ON","SPI 2","Chibuto","06","Severo"
"2015",0.28,"SPI ON","SPI 2","Chibuto","06","Severo"
"2016",0.16,"SPI ON","SPI 2","Chibuto","06","Severo"
"2017",0.18,"SPI ON","SPI 2","Chibuto","06","Severo"
"2018",0.3,"SPI ON","SPI 2","Chibuto","06","Severo"
"2019",0.24,"SPI ON","SPI 2","Chibuto","06","Severo"
"2020",0.18,"SPI ON","SPI 2","Chibuto","06","Severo"
"2021",0.08,"SPI ON","SPI 2","Chibuto","06","Severo"
"1993",0.25,"SPI ON","SPI 2","Guija","06","Severo"
"1994",0.12,"SPI ON","SPI 2","Guija","06","Severo"
"1995",0.1,"SPI ON","SPI 2","Guija","06","Severo"
"1996",0.05,"SPI ON","SPI 2","Guija","06","Severo"
"1997",0.12,"SPI ON","SPI 2","Guija","06","Severo"
"1998",0.22,"SPI ON","SPI 2","Guija","06","Severo"
"1999",0.09,"SPI ON","SPI 2","Guija","06","Severo"
"2000",0.12,"SPI ON","SPI 2","Guija","06","Severo"
"2001",0.08,"SPI ON","SPI 2","Guija","06","Severo"
"2002",0.12,"SPI ON","SPI 2","Guija","06","Severo"
"2003",0.14,"SPI ON","SPI 2","Guija","06","Severo"
"2004",0.02,"SPI ON","SPI 2","Guija","06","Severo"
"2005",0.15,"SPI ON","SPI 2","Guija","06","Severo"
"2006",0.05,"SPI ON","SPI 2","Guija","06","Severo"
"2007",0.18,"SPI ON","SPI 2","Guija","06","Severo"
"2008",0.19,"SPI ON","SPI 2","Guija","06","Severo"
"2009",0.04,"SPI ON","SPI 2","Guija","06","Severo"
"2010",0.16,"SPI ON","SPI 2","Guija","06","Severo"
"2011",0.08,"SPI ON","SPI 2","Guija","06","Severo"
"2012",0.18,"SPI ON","SPI 2","Guija","06","Severo"
"2013",0.16,"SPI ON","SPI 2","Guija","06","Severo"
"2014",0.18,"SPI ON","SPI 2","Guija","06","Severo"
"2015",0.26,"SPI ON","SPI 2","Guija","06","Severo"
"2016",0.15,"SPI ON","SPI 2","Guija","06","Severo"
"2017",0.14,"SPI ON","SPI 2","Guija","06","Severo"
"2018",0.3,"SPI ON","SPI 2","Guija","06","Severo"
"2019",0.23,"SPI ON","SPI 2","Guija","06","Severo"
"2020",0.17,"SPI ON","SPI 2","Guija","06","Severo"
"2021",0.08,"SPI ON","SPI 2","Guija","06","Severo"
"1993",0.23,"SPI ON","SPI 2","Changara","06","Severo"
"1994",0.12,"SPI ON","SPI 2","Changara","06","Severo"
"1995",0.12,"SPI ON","SPI 2","Changara","06","Severo"
"1996",0.14,"SPI ON","SPI 2","Changara","06","Severo"
"1997",0.2,"SPI ON","SPI 2","Changara","06","Severo"
"1998",0.32,"SPI ON","SPI 2","Changara","06","Severo"
"1999",0.24,"SPI ON","SPI 2","Changara","06","Severo"
"2000",0.08,"SPI ON","SPI 2","Changara","06","Severo"
"2001",0.09,"SPI ON","SPI 2","Changara","06","Severo"
"2002",0.17,"SPI ON","SPI 2","Changara","06","Severo"
"2003",0.04,"SPI ON","SPI 2","Changara","06","Severo"
"2004",0.12,"SPI ON","SPI 2","Changara","06","Severo"
"2005",0.09,"SPI ON","SPI 2","Changara","06","Severo"
"2006",0.09,"SPI ON","SPI 2","Changara","06","Severo"
"2007",0.01,"SPI ON","SPI 2","Changara","06","Severo"
"2008",0.29,"SPI ON","SPI 2","Changara","06","Severo"
"2009",0.26,"SPI ON","SPI 2","Changara","06","Severo"
"2010",0.19,"SPI ON","SPI 2","Changara","06","Severo"
"2011",0.25,"SPI ON","SPI 2","Changara","06","Severo"
"2012",0.17,"SPI ON","SPI 2","Changara","06","Severo"
"2013",0.03,"SPI ON","SPI 2","Changara","06","Severo"
"2014",0.24,"SPI ON","SPI 2","Changara","06","Severo"
"2015",0.1,"SPI ON","SPI 2","Changara","06","Severo"
"2016",0.2,"SPI ON","SPI 2","Changara","06","Severo"
"2017",0.12,"SPI ON","SPI 2","Changara","06","Severo"
"2018",0.17,"SPI ON","SPI 2","Changara","06","Severo"
"2019",0.18,"SPI ON","SPI 2","Changara","06","Severo"
"2020",0.12,"SPI ON","SPI 2","Changara","06","Severo"
"2021",0.21,"SPI ON","SPI 2","Changara","06","Severo"
"1993",0.24,"SPI ON","SPI 2","Marara","06","Severo"
"1994",0.09,"SPI ON","SPI 2","Marara","06","Severo"
"1995",0.13,"SPI ON","SPI 2","Marara","06","Severo"
"1996",0.12,"SPI ON","SPI 2","Marara","06","Severo"
"1997",0.23,"SPI ON","SPI 2","Marara","06","Severo"
"1998",0.31,"SPI ON","SPI 2","Marara","06","Severo"
"1999",0.2,"SPI ON","SPI 2","Marara","06","Severo"
"2000",0.03,"SPI ON","SPI 2","Marara","06","Severo"
"2001",0.08,"SPI ON","SPI 2","Marara","06","Severo"
"2002",0.24,"SPI ON","SPI 2","Marara","06","Severo"
"2003",0.04,"SPI ON","SPI 2","Marara","06","Severo"
"2004",0.12,"SPI ON","SPI 2","Marara","06","Severo"
"2005",0.08,"SPI ON","SPI 2","Marara","06","Severo"
"2006",0.08,"SPI ON","SPI 2","Marara","06","Severo"
"2007",0.04,"SPI ON","SPI 2","Marara","06","Severo"
"2008",0.28,"SPI ON","SPI 2","Marara","06","Severo"
"2009",0.24,"SPI ON","SPI 2","Marara","06","Severo"
"2010",0.21,"SPI ON","SPI 2","Marara","06","Severo"
"2011",0.28,"SPI ON","SPI 2","Marara","06","Severo"
"2012",0.2,"SPI ON","SPI 2","Marara","06","Severo"
"2013",0.01,"SPI ON","SPI 2","Marara","06","Severo"
"2014",0.21,"SPI ON","SPI 2","Marara","06","Severo"
"2015",0.11,"SPI ON","SPI 2","Marara","06","Severo"
"2016",0.2,"SPI ON","SPI 2","Marara","06","Severo"
"2017",0.08,"SPI ON","SPI 2","Marara","06","Severo"
"2018",0.19,"SPI ON","SPI 2","Marara","06","Severo"
"2019",0.15,"SPI ON","SPI 2","Marara","06","Severo"
"2020",0.12,"SPI ON","SPI 2","Marara","06","Severo"
"2021",0.24,"SPI ON","SPI 2","Marara","06","Severo"
"1993",0.29,"SPI OND","SPI 3","Chibuto","06","Severo"
"1994",0.14,"SPI OND","SPI 3","Chibuto","06","Severo"
"1995",0.14,"SPI OND","SPI 3","Chibuto","06","Severo"
"1996",0.14,"SPI OND","SPI 3","Chibuto","06","Severo"
"1997",0.1,"SPI OND","SPI 3","Chibuto","06","Severo"
"1998",0.18,"SPI OND","SPI 3","Chibuto","06","Severo"
"1999",0.14,"SPI OND","SPI 3","Chibuto","06","Severo"
"2000",0.16,"SPI OND","SPI 3","Chibuto","06","Severo"
"2001",0.03,"SPI OND","SPI 3","Chibuto","06","Severo"
"2002",0.29,"SPI OND","SPI 3","Chibuto","06","Severo"
"2003",0.01,"SPI OND","SPI 3","Chibuto","06","Severo"
"2004",0.14,"SPI OND","SPI 3","Chibuto","06","Severo"
"2005",0.16,"SPI OND","SPI 3","Chibuto","06","Severo"
"2006",0.18,"SPI OND","SPI 3","Chibuto","06","Severo"
"2007",0.05,"SPI OND","SPI 3","Chibuto","06","Severo"
"2008",0.03,"SPI OND","SPI 3","Chibuto","06","Severo"
"2009",0.13,"SPI OND","SPI 3","Chibuto","06","Severo"
"2010",0.16,"SPI OND","SPI 3","Chibuto","06","Severo"
"2011",0.1,"SPI OND","SPI 3","Chibuto","06","Severo"
"2012",0.35,"SPI OND","SPI 3","Chibuto","06","Severo"
"2013",0.09,"SPI OND","SPI 3","Chibuto","06","Severo"
"2014",0.18,"SPI OND","SPI 3","Chibuto","06","Severo"
